ID,Device Name
7081,WSS-Backup_Server (10.111.103.61_Windows)(STT-GIFT)
7067,WSS-Backup_Server 10.100.103.61 (Windows_JDC)
9776,(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [  ]
9781,(fwp-tp-10-112-11-247)(10.112.11.247) [FortiGate-200F] @Rack_ [  ]
9797,(fws-tp-10-112-11-248)(10.112.11.248) [FortiGate-200F] @Rack_ [  ]
9215,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
8466,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
8434,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
4625,{fwp-gc-10-111-11-243} (10.111.11.243) [FortiGate-200F] @Rack_XX
4631,{fws-gc-10-111-11-244} (10.111.11.244) [FortiGate-200F] @Rack_XX
2720,{fwp-tp-10-112-11-241} (10.112.11.241) [FortiGate-200F] @Rack_L16  [TP-GF]
2731,{fws-tp-10-112-11-242} (10.112.11.242) [FortiGate-200F] @Rack_L15  [TP-GF]
4580,{fwp-jp-172-60-60-195} (172.60.60.195) [FortiGate-100F] @Rack_05 [CDC-105]
4599,{fws-jp-172-60-60-196} (172.60.60.196) [FortiGate-100F] @Rack_06 [CDC-105]
10980,
11004,
9145,{mgmt-jp-10-100-11-55} (10.100.11.55) HUAWEI CE6860-48S8CQ-EI @Rack_XX
7708,{fwp-gc-192-168-100-1} (192.168.100.1) [FortiGate-100F] @Rack_XX
9216,{mgmt-jp-10-100-11-56} (10.100.11.56) HUAWEI CE6860-48S8CQ-EI @Rack_XX
8467,{mgmt-jp-192-168-99-251} (192.168.99.251) [Cisco WS-C3850-48P-E] @Rack_XX
8435,{mgmt-jp-192-168-99-252} (192.168.99.252) [WS-C3850-48P-E] @Rack_XX
2721,{fwp-tp-10-112-11-241} (10.112.11.241) [FortiGate-200F] @Rack_L16  [TP-GF]
2732,{fws-tp-10-112-11-242} (10.112.11.242) [FortiGate-200F] @Rack_L15  [TP-GF]
4626,{fwp-gc-10-111-11-243} (10.111.11.243) [FortiGate-200F] @Rack_XX
